consecutive_number,state_name,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,minute_of_crash,atmospheric_conditions_1,atmospheric_conditions_1_name,atmospheric_conditions_2,atmospheric_conditions_2_name,atmospheric_conditions,atmospheric_conditions_name,number_of_fatalities
560099,Wyoming,0,4,12,2016,1,3,45,4,Snow,11,Blowing Snow,4,Snow,1
160226,Idaho,0,16,12,2016,6,16,33,10,Cloudy,11,Blowing Snow,11,Blowing Snow,2
50006,Arkansas,3450,6,1,2016,4,3,36,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482027,Texas,3280,7,8,2016,1,15,28,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121570,Florida,2570,21,7,2016,5,19,37,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40186,Arizona,0,22,4,2016,6,19,13,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
60424,California,0,21,2,2016,1,0,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,4
220503,Louisiana,0,20,10,2016,5,23,52,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280190,Mississippi,1090,6,5,2016,6,15,26,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350035,New Mexico,30,26,2,2016,6,6,28,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
63236,California,0,23,11,2016,4,6,43,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
290496,Missouri,4120,10,8,2016,4,20,59,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
290501,Missouri,4120,19,7,2016,3,14,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
400508,Oklahoma,3550,21,11,2016,2,12,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481521,Texas,3280,5,3,2016,7,10,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
60675,California,90,16,5,2016,2,13,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
160088,Idaho,0,21,6,2016,3,5,43,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350143,New Mexico,0,16,6,2016,5,13,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
400563,Oklahoma,0,2,12,2016,6,3,59,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470779,Tennessee,410,8,9,2016,5,10,47,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481784,Texas,0,6,6,2016,2,21,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170446,Illinois,0,26,6,2016,1,14,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
210156,Kentucky,0,12,4,2016,3,4,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
350188,New Mexico,0,9,7,2016,7,12,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121160,Florida,0,3,6,2016,6,18,4,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
220634,Louisiana,0,5,11,2016,7,8,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50189,Arkansas,0,28,5,2016,7,16,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
180698,Indiana,1680,13,11,2016,1,16,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10131,Alabama,0,30,3,2016,4,14,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10135,Alabama,0,2,4,2016,7,13,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
400561,Oklahoma,0,6,12,2016,3,21,2,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
131106,Georgia,0,14,10,2016,6,19,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
200269,Kansas,0,24,9,2016,7,1,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170719,Illinois,0,16,10,2016,1,1,49,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
40476,Arizona,0,26,7,2016,3,3,22,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,3
120105,Florida,0,4,2,2016,5,20,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350164,New Mexico,0,18,6,2016,7,22,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50170,Arkansas,0,17,5,2016,3,20,59,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
360039,New York,4980,23,1,2016,7,4,20,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
450761,South Carolina,0,31,10,2016,2,5,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
320236,Nevada,0,8,11,2016,3,4,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
320234,Nevada,0,3,12,2016,7,23,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121386,Florida,1510,5,7,2016,3,4,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
180192,Indiana,2515,1,4,2016,6,6,36,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
61714,California,1090,24,9,2016,7,1,11,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50417,Arkansas,2880,12,11,2016,7,1,28,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
61469,California,1364,1,7,2016,6,19,38,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
122803,Florida,1510,28,12,2016,4,9,23,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
122434,Florida,0,8,11,2016,3,9,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
270204,Minnesota,0,10,8,2016,4,17,6,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
340155,New Jersey,0,18,4,2016,2,18,1,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
530112,Washington,109,2,4,2016,7,18,16,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
90258,Connecticut,502,25,12,2016,1,8,34,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481229,Texas,7200,22,5,2016,1,18,20,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
250083,Massachusetts,770,3,6,2016,6,17,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40524,Arizona,490,17,8,2016,4,15,22,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
420047,Pennsylvania,0,9,1,2016,7,17,8,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481226,Texas,3420,13,5,2016,6,12,11,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
260209,Michigan,3320,24,4,2016,1,20,6,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130117,Georgia,280,7,2,2016,1,7,23,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
330063,New Hampshire,310,20,7,2016,4,13,55,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
220033,Louisiana,0,17,1,2016,1,16,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
450637,South Carolina,0,11,9,2016,1,17,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170827,Illinois,0,21,10,2016,6,5,57,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
530226,Washington,109,13,6,2016,2,0,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480432,Texas,0,23,1,2016,7,1,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280514,Mississippi,1920,26,10,2016,4,4,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482966,Texas,0,11,11,2016,6,18,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
180042,Indiana,9997,28,1,2016,5,1,9,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170710,Illinois,4680,22,9,2016,5,19,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
122733,Florida,1510,4,12,2016,1,19,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
61863,California,0,18,9,2016,1,2,24,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
170824,Illinois,1630,21,10,2016,6,22,57,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40122,Arizona,0,24,3,2016,5,5,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170828,Illinois,0,23,10,2016,1,6,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
350175,New Mexico,698,18,7,2016,2,13,41,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
120255,Florida,0,11,3,2016,6,15,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
420568,Pennsylvania,0,8,8,2016,2,15,47,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
560027,Wyoming,0,9,6,2016,5,19,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
60154,California,0,29,2,2016,2,0,7,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
220387,Louisiana,2130,20,8,2016,7,2,41,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
420727,Pennsylvania,6540,17,10,2016,2,23,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480447,Texas,0,13,2,2016,7,21,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
560084,Wyoming,0,4,10,2016,3,5,8,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40338,Arizona,0,26,5,2016,5,23,27,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40568,Arizona,0,17,9,2016,7,21,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
421069,Pennsylvania,0,2,12,2016,6,12,52,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481800,Texas,1550,4,7,2016,2,22,56,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
120630,Florida,0,27,3,2016,1,14,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40619,Arizona,0,1,9,2016,5,21,38,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350022,New Mexico,0,2,2,2016,3,3,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
122127,Florida,0,23,9,2016,6,22,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
160110,Idaho,160,8,7,2016,6,22,29,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
300161,Montana,0,15,11,2016,3,0,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40540,Arizona,0,7,7,2016,5,2,13,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490220,Utah,620,26,10,2016,4,20,32,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
210404,Kentucky,3590,11,7,2016,2,21,26,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470455,Tennessee,0,28,6,2016,3,14,46,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
180524,Indiana,4310,22,9,2016,5,5,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
80391,Colorado,0,17,9,2016,7,18,54,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
450408,South Carolina,0,23,6,2016,5,4,24,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40686,Arizona,0,23,10,2016,1,11,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
310094,Nebraska,0,12,7,2016,3,9,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490196,Utah,0,6,10,2016,5,15,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50217,Arkansas,0,17,6,2016,6,7,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
160225,Idaho,0,13,12,2016,3,16,23,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
160168,Idaho,0,29,9,2016,5,17,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
61513,California,0,28,5,2016,7,14,48,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
560047,Wyoming,0,22,7,2016,6,16,19,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350180,New Mexico,0,30,7,2016,7,10,16,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
160082,Idaho,0,10,6,2016,6,20,29,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170404,Illinois,0,7,6,2016,3,17,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
61290,California,0,8,8,2016,2,9,20,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
60949,California,0,24,6,2016,6,18,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
240233,Maryland,0,7,8,2016,1,17,21,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
530221,Washington,0,20,3,2016,1,15,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
171059,Illinois,0,15,12,2016,5,13,57,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470207,Tennessee,0,10,4,2016,1,18,1,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
390256,Ohio,0,6,5,2016,6,17,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350150,New Mexico,493,30,6,2016,5,10,20,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
190157,Iowa,0,7,7,2016,5,18,42,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482134,Texas,0,13,8,2016,7,15,9,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
122281,Florida,0,20,10,2016,5,0,42,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
62447,California,0,15,11,2016,3,0,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
550455,Wisconsin,0,7,11,2016,2,3,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10828,Alabama,0,25,6,2016,7,15,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481734,Texas,0,26,6,2016,1,11,55,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
450205,South Carolina,0,19,2,2016,6,17,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470652,Tennessee,0,10,9,2016,7,15,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470845,Tennessee,0,16,11,2016,4,16,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
300020,Montana,0,27,2,2016,7,18,12,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
300043,Montana,0,12,4,2016,3,2,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10245,Alabama,0,6,5,2016,6,3,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
460017,South Dakota,0,3,4,2016,1,0,55,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280534,Mississippi,120,6,11,2016,1,1,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
40189,Arizona,0,27,4,2016,4,18,47,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
120197,Florida,0,14,3,2016,2,16,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490105,Utah,0,18,6,2016,7,21,22,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490179,Utah,0,7,9,2016,4,19,2,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482572,Texas,0,6,10,2016,5,18,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482195,Texas,0,21,8,2016,1,3,43,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
560055,Wyoming,0,5,8,2016,6,20,11,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470685,Tennessee,1760,27,9,2016,3,2,21,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
390831,Ohio,3602,11,10,2016,3,6,2,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40030,Arizona,0,9,1,2016,7,21,22,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280145,Mississippi,0,17,4,2016,1,20,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
160078,Idaho,0,8,6,2016,4,1,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
60850,California,0,20,5,2016,6,4,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
180204,Indiana,2800,20,4,2016,4,15,47,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470050,Tennessee,1300,7,2,2016,1,23,11,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280557,Mississippi,1920,20,11,2016,1,5,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
530286,Washington,0,3,8,2016,4,7,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470633,Tennessee,1760,3,8,2016,4,4,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480090,Texas,0,17,1,2016,1,23,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40622,Arizona,0,30,9,2016,6,19,30,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40146,Arizona,0,19,2,2016,6,4,14,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
190189,Iowa,0,5,8,2016,6,4,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
540158,West Virginia,0,19,9,2016,2,17,48,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
420345,Pennsylvania,0,30,5,2016,2,8,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
420428,Pennsylvania,0,18,6,2016,7,9,46,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
190144,Iowa,0,24,6,2016,6,10,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10694,Alabama,0,20,11,2016,1,15,12,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
480502,Texas,0,29,2,2016,2,14,43,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
320177,Nevada,0,2,8,2016,3,20,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170417,Illinois,0,14,6,2016,3,4,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350311,New Mexico,0,24,11,2016,5,7,37,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350324,New Mexico,9997,15,12,2016,5,10,3,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
310122,Nebraska,0,25,8,2016,5,13,19,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
481772,Texas,2280,18,7,2016,2,9,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350277,New Mexico,360,11,10,2016,3,19,11,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
530216,Washington,2590,27,6,2016,2,22,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
340379,New Jersey,781,13,10,2016,5,18,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170681,Illinois,8220,5,9,2016,2,11,26,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130919,Georgia,0,2,9,2016,6,17,18,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121043,Florida,1420,5,5,2016,5,16,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130770,Georgia,0,29,7,2016,6,6,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
80298,Colorado,2130,27,7,2016,4,15,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40769,Arizona,219,18,11,2016,6,16,54,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
482747,Texas,6830,24,10,2016,2,9,39,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,3
350245,New Mexico,30,11,8,2016,5,20,21,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40685,Arizona,295,3,10,2016,2,8,28,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
250331,Massachusetts,466,22,7,2016,6,16,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350048,New Mexico,605,3,3,2016,5,8,29,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40438,Arizona,60,11,7,2016,2,11,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
350207,New Mexico,530,8,8,2016,2,11,28,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470749,Tennessee,1760,16,10,2016,1,4,21,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121559,Florida,0,24,7,2016,1,18,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
270133,Minnesota,2450,11,6,2016,7,18,12,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
250032,Massachusetts,1185,26,2,2016,6,10,18,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121084,Florida,1510,8,5,2016,1,19,2,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50051,Arkansas,0,19,2,2016,6,23,59,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
450131,South Carolina,0,6,3,2016,1,3,0,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
280033,Mississippi,1140,30,1,2016,7,18,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470293,Tennessee,1760,26,4,2016,3,5,14,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
120158,Florida,290,3,2,2016,4,2,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
400108,Oklahoma,3550,28,2,2016,1,18,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
310155,Nebraska,3620,17,10,2016,2,2,36,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
420435,Pennsylvania,0,3,6,2016,6,9,38,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
60345,California,410,8,2,2016,2,5,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121943,Florida,1510,3,8,2016,4,16,59,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482926,Texas,1730,13,10,2016,5,15,45,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
482462,Texas,0,21,9,2016,4,19,10,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121784,Florida,0,25,4,2016,2,16,43,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
62181,California,1980,10,10,2016,2,18,33,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
350244,New Mexico,30,5,8,2016,6,23,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480809,Texas,150,2,4,2016,7,2,12,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480050,Texas,2450,7,1,2016,5,20,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
50135,Arkansas,3810,23,4,2016,7,1,44,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
340385,New Jersey,567,5,10,2016,4,18,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470520,Tennessee,960,14,7,2016,5,3,17,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
410296,Oregon,1310,3,9,2016,7,1,40,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490059,Utah,2090,8,2,2016,2,22,50,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
480256,Texas,5330,3,2,2016,4,21,38,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470970,Tennessee,0,23,12,2016,6,17,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
10045,Alabama,190,7,2,2016,1,17,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
270247,Minnesota,6330,30,5,2016,2,20,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40475,Arizona,0,14,7,2016,5,14,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
410319,Oregon,0,23,9,2016,6,16,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
220069,Louisiana,2257,8,2,2016,2,8,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
160024,Idaho,210,5,3,2016,7,16,56,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130619,Georgia,0,17,6,2016,6,7,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
400124,Oklahoma,1030,26,3,2016,7,14,47,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470496,Tennessee,1370,12,7,2016,3,11,33,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
470123,Tennessee,1750,5,3,2016,7,6,46,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
540192,West Virginia,1470,26,10,2016,4,13,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
60367,California,3260,4,4,2016,2,14,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
360374,New York,5230,25,6,2016,7,7,15,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
530378,Washington,1960,28,9,2016,4,7,48,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
290825,Missouri,0,5,12,2016,2,10,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
340288,New Jersey,0,20,8,2016,7,11,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
60221,California,1920,24,2,2016,4,14,52,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
120078,Florida,1510,29,1,2016,6,23,20,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
210559,Kentucky,0,1,10,2016,7,16,35,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130789,Georgia,1815,3,8,2016,4,20,5,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
131017,Georgia,0,21,9,2016,4,15,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
371004,North Carolina,1940,16,10,2016,1,15,46,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
170592,Illinois,0,10,8,2016,4,13,46,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121418,Florida,0,18,6,2016,7,11,58,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
40047,Arizona,0,16,2,2016,3,13,12,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
121059,Florida,0,22,5,2016,1,12,14,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130583,Georgia,0,9,6,2016,5,16,25,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
130773,Georgia,4450,31,7,2016,1,11,39,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
240193,Maryland,0,13,6,2016,2,15,22,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,1
490136,Utah,1650,31,5,2016,3,19,42,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,2
