id,city_code,crash_time,atmospheric_conditions_name,atmospheric_conditions_1_name,atmospheric_conditions_2_name,number_of_fatalities
0,1650,08/09/2015 2:00,Not Reported,Not Reported,No Additional Atmospheric Conditions,1
1,1650,05/17/2015 19:00,Clear,Clear,No Additional Atmospheric Conditions,2
2,1650,01/01/2015 18:00,Clear,Clear,No Additional Atmospheric Conditions,1
3,1650,07/04/2015 21:00,Clear,Clear,No Additional Atmospheric Conditions,1
4,1650,08/10/2015 8:00,Clear,Clear,No Additional Atmospheric Conditions,1
5,1650,06/14/2015 14:00,Clear,Clear,No Additional Atmospheric Conditions,1
6,1650,08/07/2015 13:00,Clear,Clear,No Additional Atmospheric Conditions,1
7,1650,05/27/2015 12:00,Clear,Clear,No Additional Atmospheric Conditions,1
8,1650,08/14/2015 1:00,Clear,Clear,No Additional Atmospheric Conditions,1
9,1650,03/07/2015 15:00,Clear,Clear,No Additional Atmospheric Conditions,1
10,1650,08/23/2015 20:00,Clear,Clear,No Additional Atmospheric Conditions,1
11,1650,09/20/2015 0:00,Clear,Clear,No Additional Atmospheric Conditions,1
12,1650,05/20/2015 21:00,Clear,Clear,No Additional Atmospheric Conditions,1
13,1650,09/03/2015 6:00,Clear,Clear,No Additional Atmospheric Conditions,1
14,1650,07/21/2015 15:00,Clear,Clear,No Additional Atmospheric Conditions,1
15,1650,08/19/2015 3:00,Clear,Clear,No Additional Atmospheric Conditions,1
16,1650,08/26/2015 21:00,Clear,Clear,No Additional Atmospheric Conditions,1
17,1650,09/26/2015 0:00,Clear,Clear,No Additional Atmospheric Conditions,1
18,1650,04/19/2015 2:00,Clear,Clear,No Additional Atmospheric Conditions,1
19,1650,05/25/2015 1:00,Clear,Clear,No Additional Atmospheric Conditions,1
20,1650,12/13/2015 8:00,Rain,Rain,No Additional Atmospheric Conditions,1
21,1650,02/05/2015 3:00,Rain,Rain,No Additional Atmospheric Conditions,1
22,1650,12/12/2015 20:00,Rain,Rain,Cloudy,1
23,1650,12/04/2015 6:00,Rain,Rain,No Additional Atmospheric Conditions,1
24,1650,02/25/2015 16:00,Rain,Rain,No Additional Atmospheric Conditions,1
25,1650,03/11/2015 10:00,Rain,Rain,Cloudy,1
26,1650,11/17/2015 4:00,Rain,Rain,No Additional Atmospheric Conditions,1
27,1650,09/27/2015 2:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
28,1650,06/03/2015 17:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
29,1650,11/01/2015 1:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
30,1650,12/07/2015 14:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
31,1650,04/15/2015 1:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
32,1650,09/16/2015 16:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
33,1650,09/06/2015 6:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
34,1650,01/17/2016 17:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
35,1650,06/05/2016 16:00,Clear,Clear,No Additional Atmospheric Conditions,1
36,1650,04/05/2016 4:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
37,1650,12/27/2016 21:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
38,1650,03/31/2016 10:00,Clear,Clear,No Additional Atmospheric Conditions,1
39,1650,08/08/2016 22:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
40,1650,11/10/2016 21:00,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
