City Code,City,State
370,Phoenix,Arizona
1980,Los Angeles,California
3260,San Diego,California
3290,San Francisco,California
600,Denver,Colorado
1510,Jacksonville,Florida
2010,Miami,Florida
280,Atlanta,Georgia
1670,Chicago,Illinois
2210,Indianapolis,Indiana
120,Boston,Massachusetts
1260,Detroit,Michigan
4760,Minneapolis,Minnesota
7080,Saint Louis,Missouri
120,Las Vegas,Nevada
30,Albuquerque,New Mexico
4170,New York,New York
870,Charlotte,North Carolina
1650,Portland,Oregon
6540,Philadelphia,Pennsylvania
6600,Pittsburgh,Pennsylvania
1760,Nashville,Tennessee
1730,Dallas,Texas
3280,Houston,Texas
6090,San Antonio,Texas
1960,Seattle,Washington
